date,open,high,low,close,volume
2026-01-01,42000,43000,41500,42800,1200
2026-01-02,42800,43500,42100,43250,1180
2026-01-03,43250,43800,42600,43620,1215
2026-01-04,43620,44000,43050,43100,1190
2026-01-05,43100,43300,42000,42400,1250
2026-01-06,42400,42650,41200,41680,1320
2026-01-07,41680,42200,41050,41950,1280
2026-01-08,41950,42900,41800,42780,1265
2026-01-09,42780,44100,42600,43850,1340
2026-01-10,43850,45200,43700,44900,1410
2026-01-11,44900,46100,44500,45750,1460
2026-01-12,45750,46300,45000,45280,1380
2026-01-13,45280,45600,44000,44420,1360
2026-01-14,44420,44800,43500,43950,1305
2026-01-15,43950,44750,43800,44680,1270
2026-01-16,44680,45900,44550,45520,1310
2026-01-17,45520,46600,45200,46250,1375
2026-01-18,46250,47400,46100,47120,1435
2026-01-19,47120,48200,46800,47860,1490
2026-01-20,47860,48500,47000,47410,1450
2026-01-21,47410,47900,46100,46520,1395
2026-01-22,46520,46950,45250,45740,1420
2026-01-23,45740,46100,44800,45160,1365
2026-01-24,45160,45900,44700,45680,1290
2026-01-25,45680,46800,45550,46590,1330
2026-01-26,46590,48100,46300,47720,1470
2026-01-27,47720,49200,47500,48860,1510
2026-01-28,48860,50100,48400,49640,1550
2026-01-29,49640,50700,48900,49220,1485
2026-01-30,49220,49800,48100,48680,1415
2026-01-31,48680,49400,48000,49050,1380
2026-02-01,49050,50500,48800,50180,1445
2026-02-02,50180,51900,50000,51420,1525
2026-02-03,51420,52800,51100,52260,1580
2026-02-04,52260,53600,51900,53150,1610
2026-02-05,53150,54000,52000,52480,1540
2026-02-06,52480,52900,50700,51250,1515
2026-02-07,51250,51800,49800,50320,1495
2026-02-08,50320,51100,49200,49780,1460
2026-02-09,49780,50600,49000,50250,1390
2026-02-10,50250,51800,50100,51580,1455
2026-02-11,51580,53200,51400,52670,1520
2026-02-12,52670,54100,52400,53880,1590
2026-02-13,53880,55200,53600,54640,1625
2026-02-14,54640,55800,53900,54220,1560
2026-02-15,54220,54700,52800,53140,1510
2026-02-16,53140,53600,51700,52280,1480
2026-02-17,52280,52900,51000,51750,1420
2026-02-18,51750,53100,51600,52890,1465
2026-02-19,52890,54600,52700,54150,1545
2026-02-20,54150,55900,54000,55320,1635
